speed,Class,Region,Year,Month,Day,start_hour,start_minute,end_hour,end_minute,duration_min,start_hour_sin,start_hour_cos,quarter,day_of_year,region_activity
9906,X,9.20099685697303,2002,4,21,0,43,2,38,158,0.0,1.0,2,111,0.6931471805599453
10030,X,3.4339872044851463,2002,7,15,19,59,20,14,1214,-0.9659258262890684,0.2588190451025203,3,196,1.6094379124341003
10030,X,3.4339872044851463,2002,7,17,6,58,7,19,439,1.0,6.123233995736766e-17,3,198,1.6094379124341003
10030,X,3.4339872044851463,2002,7,18,7,24,7,49,469,0.9659258262890683,-0.25881904510252063,3,199,1.6094379124341003
10036,X,3.4339872044851463,2002,7,18,7,24,7,49,469,0.9659258262890683,-0.25881904510252063,3,199,1.6094379124341003
10039,X,3.6888794541139363,2002,7,20,21,4,21,54,1314,-0.7071067811865477,0.7071067811865474,3,201,1.3862943611198906
10039,X,3.6888794541139363,2002,7,23,0,18,0,47,47,0.0,1.0,3,204,1.3862943611198906
10039,X,3.8066624897703196,2002,7,26,20,51,21,29,1289,-0.8660254037844386,0.5000000000000001,3,207,1.3862943611198906
10039,M,8.182279739259018,2002,7,26,22,3,22,32,1352,-0.5000000000000004,0.8660254037844384,3,207,3.4339872044851463
10039,M,3.8066624897703196,2002,7,26,0,4,0,16,16,0.0,1.0,3,207,1.3862943611198906
10039,M,3.8066624897703196,2002,7,26,22,36,22,41,1361,-0.5000000000000004,0.8660254037844384,3,207,1.3862943611198906
8040,M,8.182279739259018,2002,7,29,2,29,2,46,166,0.49999999999999994,0.8660254037844387,3,210,3.4339872044851463
8040,M,8.182279739259018,2002,7,29,10,27,11,13,673,0.49999999999999994,-0.8660254037844387,3,210,3.4339872044851463
10039,X,3.6888794541139363,2002,8,3,18,59,19,11,1151,-1.0,-1.8369701987210297e-16,3,215,1.3862943611198906
10061,M,4.248495242049359,2002,8,16,11,32,13,7,787,0.258819045102521,-0.9659258262890682,3,228,1.6094379124341003
10069,M,4.248495242049359,2002,8,16,11,32,13,7,787,0.258819045102521,-0.9659258262890682,3,228,1.6094379124341003
10069,M,4.248495242049359,2002,8,22,1,47,2,5,125,0.25881904510252074,0.9659258262890683,3,234,1.6094379124341003
10069,X,4.248495242049359,2002,8,24,0,49,1,31,91,0.0,1.0,3,236,1.6094379124341003
10180,M,5.198497031265826,2002,11,9,13,8,13,36,816,-0.2588190451025208,-0.9659258262890683,4,313,0.6931471805599453
10314,X,5.752572638825633,2003,3,18,11,51,12,20,740,0.258819045102521,-0.9659258262890682,1,77,1.3862943611198906
8040,X,5.752572638825633,2003,3,18,11,51,12,20,740,0.258819045102521,-0.9659258262890682,1,77,1.3862943611198906
8040,M,5.752572638825633,2003,3,19,9,34,10,0,600,0.7071067811865476,-0.7071067811865475,1,78,1.3862943611198906
10365,X,5.902633333401366,2003,5,27,22,56,23,13,1393,-0.5000000000000004,0.8660254037844384,2,147,1.6094379124341003
10365,X,5.902633333401366,2003,5,28,0,17,0,39,39,0.0,1.0,2,148,1.6094379124341003
10365,X,5.902633333401366,2003,5,29,0,51,1,12,72,0.0,1.0,2,149,1.6094379124341003
10365,X,5.902633333401366,2003,5,31,2,13,2,40,160,0.49999999999999994,0.8660254037844387,2,151,1.6094379124341003
10386,M,5.958424693029782,2003,6,17,22,27,23,12,1392,-0.5000000000000004,0.8660254037844384,2,168,0.6931471805599453
10486,X,6.18826412308259,2003,10,26,5,57,7,33,453,0.9659258262890683,0.25881904510252074,4,299,2.302585092994046
10486,X,6.184148890937483,2003,10,26,17,21,19,21,1161,-0.9659258262890683,-0.25881904510252063,4,299,1.6094379124341003
10486,X,6.184148890937483,2003,10,26,21,34,21,48,1308,-0.7071067811865477,0.7071067811865474,4,299,1.6094379124341003
10484,X,6.18826412308259,2003,10,26,5,57,7,33,453,0.9659258262890683,0.25881904510252074,4,299,2.302585092994046
10484,X,6.184148890937483,2003,10,26,17,21,19,21,1161,-0.9659258262890683,-0.25881904510252063,4,299,1.6094379124341003
10484,X,6.184148890937483,2003,10,26,21,34,21,48,1308,-0.7071067811865477,0.7071067811865474,4,299,1.6094379124341003
10486,X,6.18826412308259,2003,10,28,9,51,11,24,684,0.7071067811865476,-0.7071067811865475,4,301,2.302585092994046
10486,X,6.18826412308259,2003,10,29,20,37,21,1,1261,-0.8660254037844386,0.5000000000000001,4,302,2.302585092994046
8040,X,6.18826412308259,2003,11,2,17,3,17,39,1059,-0.9659258262890683,-0.25881904510252063,4,306,2.302585092994046
10486,X,6.18826412308259,2003,11,2,17,3,17,39,1059,-0.9659258262890683,-0.25881904510252063,4,306,2.302585092994046
10488,X,6.192362489474872,2003,11,3,9,43,10,19,619,0.7071067811865476,-0.7071067811865475,4,307,1.6094379124341003
10488,X,6.192362489474872,2003,11,3,1,9,1,45,105,0.25881904510252074,0.9659258262890683,4,307,1.6094379124341003
10488,M,6.18826412308259,2003,11,3,15,26,15,43,943,-0.7071067811865471,-0.7071067811865479,4,307,2.302585092994046
10488,X,6.192362489474872,2003,11,3,9,43,10,19,619,0.7071067811865476,-0.7071067811865475,4,307,1.6094379124341003
10488,X,6.192362489474872,2003,11,3,1,9,1,45,105,0.25881904510252074,0.9659258262890683,4,307,1.6094379124341003
10488,M,6.18826412308259,2003,11,3,15,26,15,43,943,-0.7071067811865471,-0.7071067811865479,4,307,2.302585092994046
10486,X,6.18826412308259,2003,11,4,19,29,20,6,1206,-0.9659258262890684,0.2588190451025203,4,308,2.302585092994046
10501,M,6.218600119691729,2003,11,17,8,55,9,19,559,0.8660254037844387,-0.4999999999999998,4,321,1.3862943611198906
10501,M,6.2324480165505225,2003,11,18,9,23,11,1,661,0.7071067811865476,-0.7071067811865475,4,322,1.0986122886681098
10501,M,6.218600119691729,2003,11,18,8,12,8,59,539,0.8660254037844387,-0.4999999999999998,4,322,1.3862943611198906
10508,M,6.2324480165505225,2003,11,18,9,23,11,1,661,0.7071067811865476,-0.7071067811865475,4,322,1.0986122886681098
10508,M,6.218600119691729,2003,11,18,8,12,8,59,539,0.8660254037844387,-0.4999999999999998,4,322,1.3862943611198906
10536,M,8.182279739259018,2004,1,5,2,50,5,20,320,0.49999999999999994,0.8660254037844387,1,5,3.4339872044851463
10537,M,6.2878585601617845,2004,1,6,6,13,6,36,396,1.0,6.123233995736766e-17,1,6,1.791759469228055
10537,X,6.2878585601617845,2004,1,7,10,14,10,33,633,0.49999999999999994,-0.8660254037844387,1,7,1.791759469228055
10537,M,6.2878585601617845,2004,1,7,3,43,4,21,261,0.7071067811865476,0.7071067811865476,1,7,1.791759469228055
