date,start_time,end_date,speed
2021/07/13,18:39,07/13,-----
2021/07/15,22:04,07/15,-----
2021/07/24,00:31,07/24,12849
2021/08/26,18:39,08/26,12859
2021/09/08,00:21,09/08,12864
2021/09/28,06:37,09/28,12871
2021/10/09,06:51,10/09,12882
2021/10/28,15:37,10/28,12887
2021/11/01,01:45,11/01,12887
2021/11/02,02:36,11/02,12891
2021/11/09,17:04,11/09,12891
2022/01/12,04:39,01/12,12932
2022/01/18,17:57,01/18,12929
2022/01/20,06:02,01/20,12929
2022/01/20,23:31,01/29,12936
2022/02/06,13:15,02/06,12939
2022/02/12,09:08,02/12,12939
2022/02/13,02:32,02/13,DIM
2022/02/15,22:22,02/15,DIM
2022/03/12,03:13,03/12,12964
2022/03/25,05:35,03/25,12974
2022/03/31,19:27,03/31,12975
2022/04/02,13:33,04/02,12975
2022/04/11,05:31,04/11,-----
2022/04/15,13:20,04/15,12994
2022/04/21,02:20,04/21,12993
2022/04/27,15:54,04/27,12996
2022/04/29,07:36,04/29,12996
2022/04/30,13:58,04/30,12994
2022/05/08,22:50,05/08,13007
2022/05/11,18:35,05/11,13007
2022/05/11,18:47,05/11,13004
2022/05/28,16:08,05/28,DIM
2022/06/13,03:31,06/13,13032
2022/07/05,04:23,07/05,13047
2022/07/08,20:30,07/08,13053
2022/07/09,13:57,07/09,13047
2022/07/21,01:32,07/21,13060
2022/08/18,11:21,08/18,13078
2022/08/26,14:08,08/26,13088
2022/08/27,03:37,08/27,13088
2022/09/29,12:15,09/29,13112
2022/10/02,06:40,10/02,DIM
2022/10/02,20:27,10/02,13110
2022/10/04,13:26,10/04,13110
2023/01/03,06:35,01/03,DIM
2023/01/12,23:21,01/12,DIM
2023/01/19,22:06,01/19,DIM
2023/02/11,12:00,02/11,EP
2023/02/17,20:30,02/18,13229
2023/02/21,20:23,02/21,DIM
2023/02/24,20:41,02/24,13229
2023/03/03,18:14,03/03,13234
2023/03/13,03:41,03/13,DIM
2023/03/13,10:36,03/13,13217
2023/03/20,15:00,03/20,13258
2023/03/28,00:08,03/28,DIM
2023/04/21,18:06,04/21,13283
2023/04/27,03:01,04/27,13289
2023/05/03,07:36,05/03,13285
2023/05/04,09:42,05/04,13296
2023/05/05,08:04,05/05,13296
2023/05/07,22:57,05/08,13296
2023/05/09,18:51,05/09,13296
2023/06/17,10:37,06/17,EP
2023/06/20,17:54,06/20,13341
2023/07/04,04:21,07/04,13359
2023/07/10,03:53,07/10,13358
2023/07/11,19:58,07/11,EP
2023/07/14,19:53,07/14,13370
2023/07/15,08:59,07/15,13360
2023/07/15,20:11,07/15,13360
2023/07/16,05:43,07/16,13360
2023/07/16,13:48,07/16,13360
2023/07/16,14:10,07/16,13360
2023/07/17,23:44,07/18,13363
2023/07/28,15:57,07/28,13376
2023/08/01,20:26,08/01,DIM
2023/08/02,08:22,08/02,13386
2023/08/05,07:02,08/05,13386
2023/08/05,22:27,08/06,13386
2023/08/06,20:03,08/06,13386
2023/08/07,21:02,08/07,13386
2023/08/10,02:51,08/10,13398
2023/08/18,19:41,08/18,13409
2023/08/20,07:01,08/20,13409
2023/08/30,23:25,08/31,EP
2023/08/31,04:30,08/31,13413
2023/09/03,09:20,09/03,13413
2023/09/05,20:29,09/05,13414
2023/09/08,11:34,09/08,13413
2023/09/19,09:53,09/19,13435
2023/09/19,20:26,09/19,13435
2023/09/19,22:47,09/19,13435
2023/09/21,13:52,09/21,13435
2023/10/17,05:32,10/17,13463
2023/10/26,23:20,10/26,EP
2023/11/28,19:42,11/28,13500
2023/12/14,17:36,12/14,13514
2023/12/31,21:57,01/01,13536
2024/01/10,19:21,01/10,13536
2024/01/14,12:00,01/14,13543
2024/01/20,09:13,01/20,EP
2024/01/29,04:27,01/29,13559
2024/02/06,12:43,02/06,DIM
2024/02/07,03:31,02/07,13575
2024/02/09,13:17,02/09,13575
2024/02/10,03:52,02/10,13584
