0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
8100.0,8.182279739259018,1997.0,11.0,4.0,3.0,55.0,4.0,6.0,246.0,0.7071067811865476,0.7071067811865476,4.0,308.0,3.4339872044851463
8100.0,8.999742789830492,1997.0,11.0,6.0,11.0,49.0,12.0,1.0,721.0,0.258819045102521,-0.9659258262890682,4.0,310.0,2.6390573296152584
8113.0,9.001346243766392,1997.0,11.0,27.0,12.0,59.0,13.0,20.0,800.0,1.2246467991473532e-16,-1.0,4.0,331.0,0.6931471805599453
8210.0,9.01322999770879,1998.0,4.0,23.0,5.0,35.0,6.0,23.0,383.0,0.9659258262890684,0.2588190451025207,2.0,113.0,2.079441541679836
8210.0,9.01322999770879,1998.0,4.0,27.0,8.0,55.0,9.0,38.0,578.0,0.8660254037844387,-0.4999999999999998,2.0,117.0,2.079441541679836
8210.0,9.01322999770879,1998.0,4.0,29.0,16.0,6.0,16.0,59.0,1019.0,-0.8660254037844385,-0.5000000000000004,2.0,119.0,2.079441541679836
8210.0,9.01322999770879,1998.0,5.0,2.0,13.0,31.0,13.0,51.0,831.0,-0.2588190451025208,-0.9659258262890684,2.0,122.0,2.079441541679836
8210.0,9.01322999770879,1998.0,5.0,6.0,7.0,58.0,8.0,20.0,500.0,0.9659258262890684,-0.2588190451025206,2.0,126.0,2.079441541679836
8210.0,9.01322999770879,1998.0,5.0,6.0,7.0,10.0,7.0,41.0,461.0,0.9659258262890684,-0.2588190451025206,2.0,126.0,2.079441541679836
8210.0,9.01322999770879,1998.0,5.0,9.0,3.0,4.0,3.0,55.0,235.0,0.7071067811865476,0.7071067811865476,2.0,129.0,2.079441541679836
8307.0,9.024974184996005,1998.0,8.0,18.0,22.0,10.0,22.0,28.0,1348.0,-0.5000000000000004,0.8660254037844384,3.0,230.0,1.3862943611198906
8307.0,9.024974184996005,1998.0,8.0,18.0,8.0,14.0,8.0,32.0,512.0,0.8660254037844387,-0.4999999999999998,3.0,230.0,1.3862943611198906
8307.0,9.024974184996005,1998.0,8.0,24.0,21.0,50.0,22.0,35.0,1355.0,-0.7071067811865477,0.7071067811865474,3.0,236.0,1.3862943611198906
8340.0,9.028938392241612,1998.0,9.0,23.0,6.0,40.0,7.0,31.0,451.0,1.0,6.123233995736766e-17,3.0,266.0,1.0986122886681098
8040.0,9.028938392241612,1998.0,9.0,30.0,13.0,8.0,14.0,48.0,888.0,-0.2588190451025208,-0.9659258262890684,3.0,273.0,1.0986122886681098
8375.0,9.033125752550372,1998.0,11.0,5.0,19.0,0.0,20.0,12.0,1212.0,-0.9659258262890684,0.2588190451025203,4.0,309.0,1.3862943611198906
8375.0,9.033125752550372,1998.0,11.0,5.0,18.0,22.0,18.0,27.0,1107.0,-1.0,-1.8369701987210294e-16,4.0,309.0,1.3862943611198906
8040.0,8.182279739259018,1998.0,11.0,7.0,11.0,2.0,11.0,9.0,669.0,0.258819045102521,-0.9659258262890682,4.0,311.0,3.4339872044851463
8040.0,9.033125752550372,1998.0,11.0,8.0,17.0,4.0,17.0,22.0,1042.0,-0.9659258262890684,-0.2588190451025206,4.0,312.0,1.3862943611198906
8415.0,9.03788993497749,1998.0,12.0,18.0,17.0,13.0,17.0,27.0,1047.0,-0.9659258262890684,-0.2588190451025206,4.0,352.0,0.6931471805599453
8040.0,8.182279739259018,1999.0,1.0,20.0,19.0,6.0,21.0,0.0,1260.0,-0.9659258262890684,0.2588190451025203,1.0,20.0,3.4339872044851463
8525.0,8.182279739259018,1999.0,5.0,3.0,5.0,36.0,6.0,32.0,392.0,0.9659258262890684,0.2588190451025207,2.0,123.0,3.4339872044851463
8552.0,9.054037377580782,1999.0,6.0,4.0,6.0,52.0,7.0,11.0,431.0,1.0,6.123233995736766e-17,2.0,155.0,0.6931471805599453
8603.0,9.060911858484252,1999.0,6.0,29.0,8.0,13.0,8.0,27.0,507.0,0.8660254037844387,-0.4999999999999998,2.0,180.0,0.6931471805599453
8674.0,9.06900719585954,1999.0,8.0,28.0,17.0,52.0,18.0,18.0,1098.0,-0.9659258262890684,-0.2588190451025206,3.0,240.0,0.6931471805599453
8731.0,9.074749717669835,1999.0,10.0,14.0,8.0,54.0,9.0,3.0,543.0,0.8660254037844387,-0.4999999999999998,4.0,287.0,0.6931471805599453
8766.0,9.078749951588586,1999.0,11.0,16.0,2.0,36.0,2.0,54.0,174.0,0.4999999999999999,0.8660254037844387,4.0,320.0,1.0986122886681098
8766.0,9.078065332666364,1999.0,11.0,16.0,4.0,5.0,4.0,13.0,253.0,0.8660254037844386,0.5000000000000001,4.0,320.0,1.0986122886681098
8759.0,9.078749951588586,1999.0,11.0,16.0,2.0,36.0,2.0,54.0,174.0,0.4999999999999999,0.8660254037844387,4.0,320.0,1.0986122886681098
8759.0,9.078065332666364,1999.0,11.0,16.0,4.0,5.0,4.0,13.0,253.0,0.8660254037844386,0.5000000000000001,4.0,320.0,1.0986122886681098
8831.0,9.086136768516877,2000.0,1.0,18.0,17.0,7.0,17.0,44.0,1064.0,-0.9659258262890684,-0.2588190451025206,1.0,18.0,0.6931471805599453
8858.0,9.089189170412032,2000.0,2.0,5.0,19.0,17.0,19.0,31.0,1171.0,-0.9659258262890684,0.2588190451025203,1.0,36.0,0.6931471805599453
8882.0,9.0918946167697,2000.0,3.0,2.0,8.0,20.0,8.0,31.0,511.0,0.8660254037844387,-0.4999999999999998,1.0,62.0,1.0986122886681098
8882.0,9.0918946167697,2000.0,3.0,2.0,13.0,35.0,13.0,48.0,828.0,-0.2588190451025208,-0.9659258262890684,1.0,62.0,1.0986122886681098
8970.0,9.101752431559284,2000.0,5.0,4.0,10.0,57.0,11.0,14.0,674.0,0.4999999999999999,-0.8660254037844387,2.0,125.0,0.6931471805599453
8993.0,9.105313134108476,2000.0,5.0,15.0,8.0,16.0,9.0,28.0,568.0,0.8660254037844387,-0.4999999999999998,2.0,136.0,0.6931471805599453
9026.0,9.107975365298154,2000.0,6.0,2.0,18.0,48.0,19.0,50.0,1190.0,-1.0,-1.8369701987210294e-16,2.0,154.0,1.9459101490553128
9026.0,9.107975365298154,2000.0,6.0,2.0,6.0,52.0,7.0,6.0,426.0,1.0,6.123233995736766e-17,2.0,154.0,1.9459101490553128
9026.0,9.107975365298154,2000.0,6.0,6.0,14.0,58.0,15.0,40.0,940.0,-0.4999999999999997,-0.8660254037844388,2.0,158.0,1.9459101490553128
9026.0,9.107975365298154,2000.0,6.0,6.0,13.0,30.0,13.0,46.0,826.0,-0.2588190451025208,-0.9659258262890684,2.0,158.0,1.9459101490553128
9026.0,9.107975365298154,2000.0,6.0,6.0,13.0,56.0,14.0,11.0,851.0,-0.2588190451025208,-0.9659258262890684,2.0,158.0,1.9459101490553128
9026.0,9.107975365298154,2000.0,6.0,10.0,16.0,40.0,17.0,19.0,1039.0,-0.8660254037844385,-0.5000000000000004,2.0,162.0,1.9459101490553128
9077.0,9.113609183016411,2000.0,7.0,10.0,21.0,5.0,22.0,27.0,1347.0,-0.7071067811865477,0.7071067811865474,3.0,192.0,1.9459101490553128
9077.0,9.113609183016411,2000.0,7.0,11.0,12.0,12.0,13.0,35.0,815.0,1.2246467991473532e-16,-1.0,3.0,193.0,1.9459101490553128
9077.0,9.113609183016411,2000.0,7.0,11.0,11.0,32.0,11.0,52.0,712.0,0.258819045102521,-0.9659258262890682,3.0,193.0,1.9459101490553128
9070.0,9.113609183016411,2000.0,7.0,12.0,10.0,18.0,10.0,46.0,646.0,0.4999999999999999,-0.8660254037844387,3.0,194.0,1.9459101490553128
9070.0,9.112837790614943,2000.0,7.0,12.0,18.0,41.0,19.0,7.0,1147.0,-1.0,-1.8369701987210294e-16,3.0,194.0,0.6931471805599453
9077.0,9.113609183016411,2000.0,7.0,14.0,10.0,3.0,10.0,43.0,643.0,0.4999999999999999,-0.8660254037844387,3.0,196.0,1.9459101490553128
9077.0,9.113609183016411,2000.0,7.0,14.0,13.0,44.0,14.0,0.0,840.0,-0.2588190451025208,-0.9659258262890684,3.0,196.0,1.9459101490553128
9085.0,9.114490046319348,2000.0,7.0,22.0,11.0,17.0,12.0,2.0,722.0,0.258819045102521,-0.9659258262890682,3.0,204.0,0.6931471805599453
9165.0,9.123256265069069,2000.0,9.0,16.0,4.0,6.0,4.0,48.0,288.0,0.8660254037844386,0.5000000000000001,3.0,260.0,1.0986122886681098
9165.0,9.123256265069069,2000.0,9.0,19.0,8.0,6.0,8.0,42.0,522.0,0.8660254037844387,-0.4999999999999998,3.0,263.0,1.0986122886681098
9213.0,9.128479345495862,2000.0,11.0,8.0,22.0,42.0,0.0,5.0,5.0,-0.5000000000000004,0.8660254037844384,4.0,313.0,0.6931471805599453
9236.0,9.13097243659261,2000.0,11.0,24.0,14.0,51.0,15.0,21.0,921.0,-0.4999999999999997,-0.8660254037844388,4.0,329.0,2.6390573296152584
9236.0,9.13097243659261,2000.0,11.0,24.0,4.0,55.0,5.0,8.0,308.0,0.8660254037844386,0.5000000000000001,4.0,329.0,2.6390573296152584
9236.0,9.13097243659261,2000.0,11.0,24.0,21.0,43.0,22.0,12.0,1332.0,-0.7071067811865477,0.7071067811865474,4.0,329.0,2.6390573296152584
9236.0,9.13097243659261,2000.0,11.0,24.0,14.0,51.0,15.0,21.0,921.0,-0.4999999999999997,-0.8660254037844388,4.0,329.0,2.6390573296152584
9236.0,9.13097243659261,2000.0,11.0,24.0,4.0,55.0,5.0,8.0,308.0,0.8660254037844386,0.5000000000000001,4.0,329.0,2.6390573296152584
9236.0,9.13097243659261,2000.0,11.0,24.0,21.0,43.0,22.0,12.0,1332.0,-0.7071067811865477,0.7071067811865474,4.0,329.0,2.6390573296152584
9236.0,9.13097243659261,2000.0,11.0,24.0,14.0,51.0,15.0,21.0,921.0,-0.4999999999999997,-0.8660254037844388,4.0,329.0,2.6390573296152584
